Umbral,Precision,Recall,F1,Accuracy,Ensayo
3,0.9759229534510433,0.8106666666666666,0.8856518572469045,0.8953333333333333,Cara
0,0.0,0.0,0.0,0.5,Voz
10,0.8185074626865672,0.914,0.8636220472440944,0.8556666666666667,Cara + Voz
5,0.8848641655886158,0.912,0.8982271831910703,0.8966666666666666,Cara + Voz. PCA
0,1.0,0.24466666666666667,0.39314408141403323,0.6223333333333333,Cara + Voz. GMM
