,Modelo,Precision,Recall,F1,Acurracy
0,OCSVM,0.7163009404388715,0.6093333333333333,0.6585014409221901,0.684
1,LOF,1.0,0.11733333333333333,0.2100238663484487,0.5586666666666666
2,IF,0.5027210884353741,0.9853333333333333,0.6657657657657656,0.5053333333333333
3,SGD,0.645605700712589,0.906,0.7539528432732315,0.7043333333333334
4,DeepSVDD,0.5057071960297767,0.6793333333333333,0.5798008534850639,0.5076666666666667
5,IForest,0.5064581917063222,0.9933333333333333,0.6708689779378658,0.5126666666666667
6,KNN,1.0,0.07266666666666667,0.13548788067122436,0.5363333333333333
7,LOF,1.0,0.016,0.031496062992125984,0.508
