Umbral,Precision,Recall,F1,Accuracy,Ensayo
0,1.0,0.04710144927536232,0.08996539792387544,0.5235507246376812,Cara
1,0.5088560885608856,0.9992753623188406,0.6743276283618582,0.5173913043478261,Cara
2,0.6735395189003437,0.9942028985507246,0.8030436055019022,0.756159420289855,Cara
3,0.9808541973490427,0.9652173913043478,0.972972972972973,0.9731884057971014,Cara
4,0.5990380411018802,0.9927536231884058,0.747204799563676,0.6641304347826087,Cara
5,0.8168257756563246,0.9920289855072464,0.8959424083769634,0.8847826086956522,Cara
6,0.5,1.0,0.6666666666666666,0.5,Cara
7,0.5001812250815513,1.0,0.6668277361681566,0.5003623188405797,Cara
8,0.5,1.0,0.6666666666666666,0.5,Cara
9,0.6853252647503782,0.9847826086956522,0.808206958073149,0.7663043478260869,Cara
10,0.5616326530612245,0.9971014492753624,0.7185378590078328,0.6094202898550725,Cara
11,1.0,0.38115942028985506,0.551941238195173,0.6905797101449276,Cara
0,0.0,0.0,0.0,0.5,Voz
1,1.0,0.391304347826087,0.5625,0.6956521739130435,Voz
2,0.0,0.0,0.0,0.5,Voz
3,0.9411764705882353,0.6956521739130435,0.7999999999999999,0.8260869565217391,Voz
4,0.0,0.0,0.0,0.5,Voz
5,0.7931034482758621,1.0,0.8846153846153846,0.8695652173913043,Voz
6,1.0,0.2391304347826087,0.3859649122807018,0.6195652173913043,Voz
7,0.0,0.0,0.0,0.5,Voz
8,0.7931034482758621,1.0,0.8846153846153846,0.8695652173913043,Voz
9,1.0,0.391304347826087,0.5625,0.6956521739130435,Voz
10,1.0,0.13043478260869565,0.23076923076923078,0.5652173913043478,Voz
11,0.0,0.0,0.0,0.5,Voz
0,0.0,0.0,0.0,0.5,Cara + Voz
1,1.0,0.9159420289855073,0.9561270801815431,0.9579710144927536,Cara + Voz
2,1.0,0.4746376811594203,0.6437346437346437,0.7373188405797102,Cara + Voz
3,1.0,0.5253623188405797,0.6888361045130642,0.7626811594202898,Cara + Voz
4,1.0,0.3717391304347826,0.5419968304278923,0.6858695652173913,Cara + Voz
5,1.0,0.8920289855072464,0.9429337418613559,0.9460144927536231,Cara + Voz
6,0.9722617354196301,0.9905797101449275,0.9813352476669058,0.981159420289855,Cara + Voz
7,1.0,0.9449275362318841,0.9716840536512668,0.972463768115942,Cara + Voz
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz
9,1.0,0.7195652173913043,0.8369152970922882,0.8597826086956522,Cara + Voz
10,1.0,0.9384057971014492,0.9682242990654205,0.9692028985507246,Cara + Voz
11,1.0,0.013768115942028985,0.027162258756254463,0.5068840579710145,Cara + Voz
0,0.0,0.0,0.0,0.5,Cara + Voz. PCA
1,0.83343653250774,0.9753623188405797,0.8988313856427379,0.8902173913043478,Cara + Voz. PCA
2,1.0,0.9173913043478261,0.9569160997732427,0.9586956521739131,Cara + Voz. PCA
3,1.0,0.9434782608695652,0.9709172259507829,0.9717391304347827,Cara + Voz. PCA
4,0.9846153846153847,0.881159420289855,0.930019120458891,0.933695652173913,Cara + Voz. PCA
5,0.968299711815562,0.9739130434782609,0.9710982658959538,0.9710144927536232,Cara + Voz. PCA
6,0.5941966219142486,0.9942028985507246,0.7438330170777988,0.657608695652174,Cara + Voz. PCA
7,0.8162522741055185,0.9753623188405797,0.8887421591284252,0.8778985507246376,Cara + Voz. PCA
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
9,1.0,0.9521739130434783,0.9755011135857461,0.9760869565217392,Cara + Voz. PCA
10,0.9753265602322206,0.9739130434782609,0.9746192893401016,0.9746376811594203,Cara + Voz. PCA
11,1.0,0.2210144927536232,0.3620178041543027,0.6105072463768116,Cara + Voz. PCA
0,0.8382022471910112,0.5405797101449276,0.6572687224669603,0.7181159420289855,Cara + Voz. GMM
1,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
2,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
3,1.0,0.9108695652173913,0.9533560864618885,0.9554347826086956,Cara + Voz. GMM
4,0.9296817172464841,0.9101449275362319,0.9198095935554741,0.9206521739130434,Cara + Voz. GMM
5,0.9634831460674157,0.9942028985507246,0.978601997146933,0.9782608695652174,Cara + Voz. GMM
6,0.506050605060506,1.0,0.6720233747260774,0.5119565217391304,Cara + Voz. GMM
7,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
9,1.0,0.5260869565217391,0.6894586894586895,0.7630434782608696,Cara + Voz. GMM
10,0.6489411764705882,0.9992753623188406,0.7868758915834522,0.7293478260869565,Cara + Voz. GMM
11,0.0,0.0,0.0,0.5,Cara + Voz. GMM
