Precision,Recall,F1,Acurracy,Tipo
0.9458646616541353,0.8386666666666667,0.8890459363957597,0.8953333333333333,Imagen
0.5818181818181818,0.64,0.6095238095238096,0.59,Audio
0.92487597448618,0.87,0.8965991068361387,0.8996666666666666,Mixto
0.9745958429561201,0.844,0.9046087888531618,0.911,PCA
0.9172131147540984,0.746,0.8227941176470588,0.8393333333333334,GMM
