Unnamed: 0,Modelo,Precision,Recall,F1,Acurracy
0,OCSVM,0.4974511469838573,0.7806666666666666,0.6076803321224702,0.496
1,LOF,0.5212912087912088,0.506,0.5135317997293641,0.5206666666666667
2,IF,0.5022283167637984,0.9766666666666668,0.6633461625537695,0.5043333333333333
3,SGD,0.4861111111111111,0.7933333333333333,0.6028368794326241,0.4773333333333333
4,DeepSVDD,0.506763,0.749333,0.604626,0.51
5,IForest,0.4984709480122324,0.978,0.6603646185010128,0.497
6,KNN,1.0,0.084,0.1549815498154981,0.542
7,LOF,0.5212912087912088,0.506,0.5135317997293641,0.5206666666666667
